arquivo;slug_local;titulo_local;curso_id_atual;confianca;id_crm_sugerido;id_crm_confirmado;candidato_1_nome;candidato_1_id_crm;candidato_1_slug;candidato_1_score;candidato_2_nome;candidato_2_id_crm;candidato_2_slug;candidato_2_score;candidato_3_nome;candidato_3_id_crm;candidato_3_slug;candidato_3_score
produtos\mba-licitacoes-contratos-governanca-gestao-contratacoes-aquisicoes-publicas.md;mba-licitacoes-contratos-governanca-gestao-contratacoes-aquisicoes-publicas;MBA em Licitações e Contratos: Governança e Gestão em Contratações e Aquisições Públicas;;alta;868;868;MBA Licitações e Contratos: Governança e Gestão em Contratações e Aquisições Públicas;868;licitacoes-e-contratos-governanca-e-gestao-em-contratacoes-e-aquisicoes-publicas-mba-remoto;0.983;MBA Planejamento e Gestão de Obras Públicas;832;planejamento-e-gestao-de-obras-publicas-mba-remoto;0.534;MBA em Gerenciamento de Crises, Gestão de Riscos e Estratégia de Mercado;680;gerenciamento-de-crises-gestao-de-riscos-e-estrategia-de-mercado-mba-remoto;0.512
produtos\mba-lideranca-estrategica-desenvolvimento-equipes-alta-performance.md;mba-lideranca-estrategica-desenvolvimento-equipes-alta-performance;MBA em Liderança Estratégica e Desenvolvimento de Equipes de Alta Performance;;alta;701;701;MBA Liderança Estratégica e Desenvolvimento de Equipes de Alta Performance;701;lideranca-estrategica-e-desenvolvimento-de-equipes-de-alta-performance-mba-remoto;0.98;MBA em Liderança Estratégica e Gestão Financeira;709;lideranca-estrategica-e-gestao-financeira-mba-ead;0.656;MBA em Gestão Estratégica de Pessoas: Desenvolvimento, Cultura e Negócios;1318;mba-em-gestao-estrategica-de-pessoas-desenvolvimento-cultura-e-negocios;0.6
produtos\mba-lideranca-estrategica-gestao-financeira.md;mba-lideranca-estrategica-gestao-financeira;MBA em Liderança Estratégica e Gestão Financeira;;alta;709;709;MBA em Liderança Estratégica e Gestão Financeira;709;lideranca-estrategica-e-gestao-financeira-mba-ead;1.0;MBA em Inteligência e Estratégias em Marketing;1147;mba-em-inteligencia-e-estrategias-em-marketing;0.66;MBA em Liderança e Gestão do Terceiro Setor;490;lideranca-e-gestao-do-terceiro-setor-mba-presencial;0.659
produtos\mba-logistica-supply-chain-transportes.md;mba-logistica-supply-chain-transportes;MBA em Logística, Supply Chain e Transportes;;media - revisar;753;753;MBA em Logística, Supply Chain e Transportes;753;logistica-supply-chain-e-transportes-mba-presencial;1.0;MBA em Logística, Supply Chain e Transportes;753;logistica-supply-chain-e-transportes-mba-remoto;1.0;MBA em Gestão de Pessoas por Competências;648;gestao-de-pessoas-por-competencias-mba-presencial;0.518
produtos\mba-marketing-estrategico-growth-ia.md;mba-marketing-estrategico-growth-ia;MBA em Marketing Estratégico, Growth e Inteligência Artificial;;alta;1256;1256;MBA em Marketing: Estratégia, Digital e Inteligência Artificial;1256;mba-em-marketing-estrategia-digital-e-inteligencia-artificial;0.896;MBA em Direito Digital, Práticas em Proteção de Dados e Inteligência Artificial;1304;mba-em-direito-digital-praticas-em-protecao-de-dados-e-inteligencia-artificial;0.624;MBA em Marketing: do Clássico ao Digital;897;marketing-do-classico-ao-digital-mba-remoto;0.588
produtos\mba-mercados-financeiros-capitais.md;mba-mercados-financeiros-capitais;MBA em Mercados Financeiros e de Capitais;;alta;418;418;MBA Mercados Financeiros e de Capitais;418;mercados-financeiros-e-de-capitais-mba-ead;0.962;Planejamento Financeiro Empresarial;610;planejamento-financeiro-empresarial-curso-presencial-de-curta-duracao;0.579;MBA em Gestão de Pessoas e Liderança Positiva;877;gestao-de-pessoas-e-lideranca-positiva-mba-ead;0.558
produtos\mba-patologia-construcoes-diagnosticos-tratamentos.md;mba-patologia-construcoes-diagnosticos-tratamentos;MBA em Patologia das Construções: Diagnósticos e Tratamentos;;media - revisar;699;699;Patologia das Construções: Diagnósticos e Tratamentos;699;patologia-das-construcoes-diagnosticos-e-tratamentos-pos-graduacao-remota;0.938;Manifestações Patológicas das Construções: Diagnósticos e Tratamentos ;618;manifestacoes-patologicas-das-construcoes-diagnosticos-e-tratamentos-pos-graduacao-presencial;0.884;MBA em Desempenho das Construções e Edifícios Inteligentes;853;desempenho-das-construces-e-edificios-inteligentes-mba-remoto;0.644
produtos\mba-planejamento-gestao-obras-publicas.md;mba-planejamento-gestao-obras-publicas;MBA em Planejamento e Gestão de Obras Públicas;;alta;832;832;MBA Planejamento e Gestão de Obras Públicas;832;planejamento-e-gestao-de-obras-publicas-mba-remoto;0.966;Planejamento e Gestão de Obras;893;planejamento-e-gestao-de-obras-curso-remoto-de-curta-duracao;0.789;Planejamento, Execução e Controle de Obras Públicas;99;planejamento-execucao-e-controle-de-obras-publicas-mba-presencial;0.701
produtos\mba-projeto-construcao-obras-industriais-especiais.md;mba-projeto-construcao-obras-industriais-especiais;MBA em Projeto e Construção de Obras Industriais e Especiais;;alta;1011;1011;Projeto e Construção de Obras Industriais e Especiais;1011;projeto-e-construcao-de-obras-industriais-e-especiais-mba-remoto;0.938;MBA Projeto e Construção de Estruturas Metálicas e de Madeira;650;projeto-e-construcao-de-estruturas-metalicas-e-de-madeira-mba-remoto;0.694;Projeto e Construção de Estruturas Metálicas e de Madeira;650;projeto-e-construcao-de-estruturas-metalicas-e-de-madeira-mba-presencial;0.65
produtos\mba-psicologia-organizacional-trabalho.md;mba-psicologia-organizacional-trabalho;MBA em Psicologia Organizacional e do Trabalho;;media - revisar;553;553;MBA em Psicologia Organizacional e do Trabalho;553;psicologia-organizacional-e-do-trabalho-mba-presencial;1.0;MBA Psicologia Organizacional e do Trabalho;553;psicologia-organizacional-e-do-trabalho-mba-remoto;0.966;RH na Prática e Gestão Organizacional de Recursos Humanos;352;rh-na-pratica-e-gestao-organizacional-de-recursos-humanos-curso-presencial-de-curta-duracao;0.544
